X,Y,id,left,top,right,bottom,sent_compound_count,sent_compound_mean
1373182.6895177,5690332.84198866,27,1373157.6895177,5690357.84198866,1373207.6895177,5690307.84198866,1.0,0.816417
1373182.6895177,5690282.84198866,28,1373157.6895177,5690307.84198866,1373207.6895177,5690257.84198866,1.0,0.535
1373182.6895177,5690232.84198866,29,1373157.6895177,5690257.84198866,1373207.6895177,5690207.84198866,,0.0
1373182.6895177,5690182.84198866,30,1373157.6895177,5690207.84198866,1373207.6895177,5690157.84198866,,0.0
1373182.6895177,5690132.84198866,31,1373157.6895177,5690157.84198866,1373207.6895177,5690107.84198866,,0.0
1373182.6895177,5690082.84198866,32,1373157.6895177,5690107.84198866,1373207.6895177,5690057.84198866,,0.0
1373182.6895177,5690032.84198866,33,1373157.6895177,5690057.84198866,1373207.6895177,5690007.84198866,,0.0
1373182.6895177,5689982.84198866,34,1373157.6895177,5690007.84198866,1373207.6895177,5689957.84198866,2.0,0.676156
1373182.6895177,5689932.84198866,35,1373157.6895177,5689957.84198866,1373207.6895177,5689907.84198866,1.0,0.640871
1373182.6895177,5689882.84198866,36,1373157.6895177,5689907.84198866,1373207.6895177,5689857.84198866,,0.0
1373182.6895177,5689832.84198866,37,1373157.6895177,5689857.84198866,1373207.6895177,5689807.84198866,,0.0
1373182.6895177,5689782.84198866,38,1373157.6895177,5689807.84198866,1373207.6895177,5689757.84198866,1.0,0.811529
1373182.6895177,5689732.84198866,39,1373157.6895177,5689757.84198866,1373207.6895177,5689707.84198866,,0.0
1373182.6895177,5689682.84198866,40,1373157.6895177,5689707.84198866,1373207.6895177,5689657.84198866,,0.0
1373182.6895177,5689632.84198866,41,1373157.6895177,5689657.84198866,1373207.6895177,5689607.84198866,,0.0
1373182.6895177,5689582.84198866,42,1373157.6895177,5689607.84198866,1373207.6895177,5689557.84198866,,0.0
1373182.6895177,5689532.84198866,43,1373157.6895177,5689557.84198866,1373207.6895177,5689507.84198866,,0.0
1373182.6895177,5689482.84198866,44,1373157.6895177,5689507.84198866,1373207.6895177,5689457.84198866,,0.0
1373182.6895177,5689432.84198866,45,1373157.6895177,5689457.84198866,1373207.6895177,5689407.84198866,,0.0
1373182.6895177,5689382.84198866,46,1373157.6895177,5689407.84198866,1373207.6895177,5689357.84198866,,0.0
1373182.6895177,5689332.84198866,47,1373157.6895177,5689357.84198866,1373207.6895177,5689307.84198866,,0.0
1373182.6895177,5689282.84198866,48,1373157.6895177,5689307.84198866,1373207.6895177,5689257.84198866,,0.0
1373182.6895177,5689232.84198866,49,1373157.6895177,5689257.84198866,1373207.6895177,5689207.84198866,,0.0
1373182.6895177,5689182.84198866,50,1373157.6895177,5689207.84198866,1373207.6895177,5689157.84198866,,0.0
1373182.6895177,5689132.84198866,51,1373157.6895177,5689157.84198866,1373207.6895177,5689107.84198866,,0.0
1373182.6895177,5689082.84198866,52,1373157.6895177,5689107.84198866,1373207.6895177,5689057.84198866,,0.0
1373182.6895177,5689032.84198866,53,1373157.6895177,5689057.84198866,1373207.6895177,5689007.84198866,,0.0
1373182.6895177,5688982.84198866,54,1373157.6895177,5689007.84198866,1373207.6895177,5688957.84198866,,0.0
1373182.6895177,5688932.84198866,55,1373157.6895177,5688957.84198866,1373207.6895177,5688907.84198866,,0.0
1373182.6895177,5688882.84198866,56,1373157.6895177,5688907.84198866,1373207.6895177,5688857.84198866,,0.0
1373232.6895177,5691632.84198866,57,1373207.6895177,5691657.84198866,1373257.6895177,5691607.84198866,,0.0
1373232.6895177,5691582.84198866,58,1373207.6895177,5691607.84198866,1373257.6895177,5691557.84198866,,0.0
1373232.6895177,5691532.84198866,59,1373207.6895177,5691557.84198866,1373257.6895177,5691507.84198866,,0.0
1373232.6895177,5691482.84198866,60,1373207.6895177,5691507.84198866,1373257.6895177,5691457.84198866,,0.0
1373232.6895177,5691432.84198866,61,1373207.6895177,5691457.84198866,1373257.6895177,5691407.84198866,,0.0
1373232.6895177,5691382.84198866,62,1373207.6895177,5691407.84198866,1373257.6895177,5691357.84198866,,0.0
1373232.6895177,5691332.84198866,63,1373207.6895177,5691357.84198866,1373257.6895177,5691307.84198866,,0.0
1373232.6895177,5691282.84198866,64,1373207.6895177,5691307.84198866,1373257.6895177,5691257.84198866,,0.0
1373232.6895177,5691232.84198866,65,1373207.6895177,5691257.84198866,1373257.6895177,5691207.84198866,,0.0
1373232.6895177,5691182.84198866,66,1373207.6895177,5691207.84198866,1373257.6895177,5691157.84198866,,0.0
1373232.6895177,5691132.84198866,67,1373207.6895177,5691157.84198866,1373257.6895177,5691107.84198866,1.0,0.9275
1373232.6895177,5691082.84198866,68,1373207.6895177,5691107.84198866,1373257.6895177,5691057.84198866,,0.0
1373232.6895177,5691032.84198866,69,1373207.6895177,5691057.84198866,1373257.6895177,5691007.84198866,,0.0
1373232.6895177,5690982.84198866,70,1373207.6895177,5691007.84198866,1373257.6895177,5690957.84198866,,0.0
1373232.6895177,5690932.84198866,71,1373207.6895177,5690957.84198866,1373257.6895177,5690907.84198866,,0.0
1373232.6895177,5690882.84198866,72,1373207.6895177,5690907.84198866,1373257.6895177,5690857.84198866,,0.0
1373232.6895177,5690832.84198866,73,1373207.6895177,5690857.84198866,1373257.6895177,5690807.84198866,,0.0
1373232.6895177,5690782.84198866,74,1373207.6895177,5690807.84198866,1373257.6895177,5690757.84198866,,0.0
1373232.6895177,5690732.84198866,75,1373207.6895177,5690757.84198866,1373257.6895177,5690707.84198866,1.0,0.0
1373232.6895177,5690682.84198866,76,1373207.6895177,5690707.84198866,1373257.6895177,5690657.84198866,1.0,0.454375
1373232.6895177,5690632.84198866,77,1373207.6895177,5690657.84198866,1373257.6895177,5690607.84198866,,0.0
1373232.6895177,5690582.84198866,78,1373207.6895177,5690607.84198866,1373257.6895177,5690557.84198866,3.0,0.210146
1373232.6895177,5690532.84198866,79,1373207.6895177,5690557.84198866,1373257.6895177,5690507.84198866,1.0,0.26635
1373232.6895177,5690482.84198866,80,1373207.6895177,5690507.84198866,1373257.6895177,5690457.84198866,1.0,0.234125
1373232.6895177,5690432.84198866,81,1373207.6895177,5690457.84198866,1373257.6895177,5690407.84198866,4.0,0.667867
1373232.6895177,5690382.84198866,82,1373207.6895177,5690407.84198866,1373257.6895177,5690357.84198866,,0.0
1373232.6895177,5690332.84198866,83,1373207.6895177,5690357.84198866,1373257.6895177,5690307.84198866,,0.0
1373232.6895177,5690282.84198866,84,1373207.6895177,5690307.84198866,1373257.6895177,5690257.84198866,,0.0
1373232.6895177,5690232.84198866,85,1373207.6895177,5690257.84198866,1373257.6895177,5690207.84198866,1.0,0.115133
1373232.6895177,5690182.84198866,86,1373207.6895177,5690207.84198866,1373257.6895177,5690157.84198866,1.0,0.930633
1373232.6895177,5690132.84198866,87,1373207.6895177,5690157.84198866,1373257.6895177,5690107.84198866,,0.0
1373232.6895177,5690082.84198866,88,1373207.6895177,5690107.84198866,1373257.6895177,5690057.84198866,,0.0
1373232.6895177,5690032.84198866,89,1373207.6895177,5690057.84198866,1373257.6895177,5690007.84198866,,0.0
1373232.6895177,5689982.84198866,90,1373207.6895177,5690007.84198866,1373257.6895177,5689957.84198866,,0.0
1373232.6895177,5689932.84198866,91,1373207.6895177,5689957.84198866,1373257.6895177,5689907.84198866,,0.0
1373232.6895177,5689882.84198866,92,1373207.6895177,5689907.84198866,1373257.6895177,5689857.84198866,,0.0
1373232.6895177,5689832.84198866,93,1373207.6895177,5689857.84198866,1373257.6895177,5689807.84198866,,0.0
1373232.6895177,5689782.84198866,94,1373207.6895177,5689807.84198866,1373257.6895177,5689757.84198866,,0.0
1373232.6895177,5689732.84198866,95,1373207.6895177,5689757.84198866,1373257.6895177,5689707.84198866,,0.0
1373232.6895177,5689682.84198866,96,1373207.6895177,5689707.84198866,1373257.6895177,5689657.84198866,,0.0
1373232.6895177,5689632.84198866,97,1373207.6895177,5689657.84198866,1373257.6895177,5689607.84198866,,0.0
1373232.6895177,5689582.84198866,98,1373207.6895177,5689607.84198866,1373257.6895177,5689557.84198866,,0.0
1373232.6895177,5689532.84198866,99,1373207.6895177,5689557.84198866,1373257.6895177,5689507.84198866,,0.0
1373232.6895177,5689482.84198866,100,1373207.6895177,5689507.84198866,1373257.6895177,5689457.84198866,,0.0
1373232.6895177,5689432.84198866,101,1373207.6895177,5689457.84198866,1373257.6895177,5689407.84198866,,0.0
1373232.6895177,5689382.84198866,102,1373207.6895177,5689407.84198866,1373257.6895177,5689357.84198866,,0.0
1373232.6895177,5689332.84198866,103,1373207.6895177,5689357.84198866,1373257.6895177,5689307.84198866,,0.0
1373232.6895177,5689282.84198866,104,1373207.6895177,5689307.84198866,1373257.6895177,5689257.84198866,,0.0
1373232.6895177,5689232.84198866,105,1373207.6895177,5689257.84198866,1373257.6895177,5689207.84198866,,0.0
1373232.6895177,5689182.84198866,106,1373207.6895177,5689207.84198866,1373257.6895177,5689157.84198866,,0.0
1373232.6895177,5689132.84198866,107,1373207.6895177,5689157.84198866,1373257.6895177,5689107.84198866,,0.0
1373232.6895177,5689082.84198866,108,1373207.6895177,5689107.84198866,1373257.6895177,5689057.84198866,,0.0
1373232.6895177,5689032.84198866,109,1373207.6895177,5689057.84198866,1373257.6895177,5689007.84198866,,0.0
1373232.6895177,5688982.84198866,110,1373207.6895177,5689007.84198866,1373257.6895177,5688957.84198866,,0.0
1373232.6895177,5688932.84198866,111,1373207.6895177,5688957.84198866,1373257.6895177,5688907.84198866,,0.0
1373232.6895177,5688882.84198866,112,1373207.6895177,5688907.84198866,1373257.6895177,5688857.84198866,,0.0
1373282.6895177,5691632.84198866,113,1373257.6895177,5691657.84198866,1373307.6895177,5691607.84198866,,0.0
1373282.6895177,5691582.84198866,114,1373257.6895177,5691607.84198866,1373307.6895177,5691557.84198866,,0.0
1373282.6895177,5691532.84198866,115,1373257.6895177,5691557.84198866,1373307.6895177,5691507.84198866,,0.0
1373282.6895177,5691482.84198866,116,1373257.6895177,5691507.84198866,1373307.6895177,5691457.84198866,,0.0
1373282.6895177,5691432.84198866,117,1373257.6895177,5691457.84198866,1373307.6895177,5691407.84198866,,0.0
1373282.6895177,5691382.84198866,118,1373257.6895177,5691407.84198866,1373307.6895177,5691357.84198866,,0.0
1373282.6895177,5691332.84198866,119,1373257.6895177,5691357.84198866,1373307.6895177,5691307.84198866,,0.0
1373282.6895177,5691282.84198866,120,1373257.6895177,5691307.84198866,1373307.6895177,5691257.84198866,,0.0
1373282.6895177,5691232.84198866,121,1373257.6895177,5691257.84198866,1373307.6895177,5691207.84198866,2.0,0.57162
1373282.6895177,5691182.84198866,122,1373257.6895177,5691207.84198866,1373307.6895177,5691157.84198866,4.0,0.698014
1373282.6895177,5691132.84198866,123,1373257.6895177,5691157.84198866,1373307.6895177,5691107.84198866,1.0,0.339263
1373282.6895177,5691082.84198866,124,1373257.6895177,5691107.84198866,1373307.6895177,5691057.84198866,,0.0
1373282.6895177,5691032.84198866,125,1373257.6895177,5691057.84198866,1373307.6895177,5691007.84198866,,0.0
1373282.6895177,5690982.84198866,126,1373257.6895177,5691007.84198866,1373307.6895177,5690957.84198866,1.0,0.920075
1373282.6895177,5690932.84198866,127,1373257.6895177,5690957.84198866,1373307.6895177,5690907.84198866,,0.0
1373282.6895177,5690882.84198866,128,1373257.6895177,5690907.84198866,1373307.6895177,5690857.84198866,,0.0
1373282.6895177,5690832.84198866,129,1373257.6895177,5690857.84198866,1373307.6895177,5690807.84198866,,0.0
1373282.6895177,5690782.84198866,130,1373257.6895177,5690807.84198866,1373307.6895177,5690757.84198866,1.0,0.155888
1373282.6895177,5690732.84198866,131,1373257.6895177,5690757.84198866,1373307.6895177,5690707.84198866,,0.0
1373282.6895177,5690682.84198866,132,1373257.6895177,5690707.84198866,1373307.6895177,5690657.84198866,,0.0
1373282.6895177,5690632.84198866,133,1373257.6895177,5690657.84198866,1373307.6895177,5690607.84198866,2.0,0.453389
1373282.6895177,5690582.84198866,134,1373257.6895177,5690607.84198866,1373307.6895177,5690557.84198866,,0.0
1373282.6895177,5690532.84198866,135,1373257.6895177,5690557.84198866,1373307.6895177,5690507.84198866,,0.0
1373282.6895177,5690482.84198866,136,1373257.6895177,5690507.84198866,1373307.6895177,5690457.84198866,,0.0
1373282.6895177,5690432.84198866,137,1373257.6895177,5690457.84198866,1373307.6895177,5690407.84198866,,0.0
1373282.6895177,5690382.84198866,138,1373257.6895177,5690407.84198866,1373307.6895177,5690357.84198866,,0.0
1373282.6895177,5690332.84198866,139,1373257.6895177,5690357.84198866,1373307.6895177,5690307.84198866,1.0,0.8009
1373282.6895177,5690282.84198866,140,1373257.6895177,5690307.84198866,1373307.6895177,5690257.84198866,1.0,0.341888
1373282.6895177,5690232.84198866,141,1373257.6895177,5690257.84198866,1373307.6895177,5690207.84198866,2.0,0.071681
1373282.6895177,5690182.84198866,142,1373257.6895177,5690207.84198866,1373307.6895177,5690157.84198866,,0.0
1373282.6895177,5690132.84198866,143,1373257.6895177,5690157.84198866,1373307.6895177,5690107.84198866,,0.0
1373282.6895177,5690082.84198866,144,1373257.6895177,5690107.84198866,1373307.6895177,5690057.84198866,,0.0
1373282.6895177,5690032.84198866,145,1373257.6895177,5690057.84198866,1373307.6895177,5690007.84198866,1.0,0.361257
1373282.6895177,5689982.84198866,146,1373257.6895177,5690007.84198866,1373307.6895177,5689957.84198866,4.0,0.504776
1373282.6895177,5689932.84198866,147,1373257.6895177,5689957.84198866,1373307.6895177,5689907.84198866,,0.0
1373282.6895177,5689882.84198866,148,1373257.6895177,5689907.84198866,1373307.6895177,5689857.84198866,,0.0
1373282.6895177,5689832.84198866,149,1373257.6895177,5689857.84198866,1373307.6895177,5689807.84198866,,0.0
