place_id,place_title,gps,rating,date,title,name,review,images,likes,local_guide
ChIJpbGcMNCxfkcRZ5eOjS5CjsY,Lafarmacia.San Teodoro,"{'latitude': 45.433907999999995, 'longitude': 12.330726}",5.0,7 years ago,,シベリアのSiberia,"Kind and polite service.
Reliable.",,,True
ChIJpbGcMNCxfkcRZ5eOjS5CjsY,Lafarmacia.San Teodoro,"{'latitude': 45.433907999999995, 'longitude': 12.330726}",1.0,6 months ago,,Alice Costa,"Personale scortese. Sono andata in farmacia per acquistare kinesiotape per mia nipote che si era fatto una distorsione della caviglia. Ho chiesto se mi potevano prestare un paio di forbici per tagliare il tape ma mi hanno detto di no!!!
È semplicemente vergognoso, queste signore sono farmacista?? Dov'è l'aiuto alla persona??? Dov'è l'empatia??? Atteggiamento proprio non professionale..
Sottolineo che il bar accanto ci hanno accudito con forbici e ghiaccio!!",,,True
ChIJpbGcMNCxfkcRZ5eOjS5CjsY,Lafarmacia.San Teodoro,"{'latitude': 45.433907999999995, 'longitude': 12.330726}",4.0,5 months ago,,Soichiro Ito,つたない英語で、観光客相手でもきちんと話を聞いてくれて、適切な薬を教えてくれました。,['https://lh3.googleusercontent.com/geougc-cs/AMBA38t9UVc9Y-ZLuO-lwV0RqyXJnMJOlgaoEuvnIcbHvmk2E0sFspzFEIQlVXHT9uRO6mYVAad0umksAgr4oW8F5Q59XyaAO8S90aWBrjI0H4Almsa0PBKjV1XVIXJFsTeoeX9AM1C77Vw1wIM'],,True
ChIJpbGcMNCxfkcRZ5eOjS5CjsY,Lafarmacia.San Teodoro,"{'latitude': 45.433907999999995, 'longitude': 12.330726}",1.0,2 years ago,,Giancarlo De Marco,"Mia moglie stamane è stata servita da una dottoressa scortese, che non ha detto né buongiorno né arrivederci, che ha quasi ""buttato"" sul banco il prodotto omeopatico che era stato richiesto. Esperienza molto trieste.",,,True
ChIJpbGcMNCxfkcRZ5eOjS5CjsY,Lafarmacia.San Teodoro,"{'latitude': 45.433907999999995, 'longitude': 12.330726}",5.0,2 years ago,,Irene Pizzoccaro Magalios,"Professionali e gentilissimi nei consigli e nelle indicazioni, forniti delle migliori marche, velocissimi nel procurare i prodotti ordinati: è la mia farmacia di riferimento in città.",,,True
ChIJpbGcMNCxfkcRZ5eOjS5CjsY,Lafarmacia.San Teodoro,"{'latitude': 45.433907999999995, 'longitude': 12.330726}",5.0,2 years ago,,박민규,"너무 친절하십니다!
제가 설명을 잘 못했는데도 계속 소통해주시려고 노력해주시고 좋은 처방을 해주셨어요

감사합니다",,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",2.0,7 years ago,,M (TOHMary),Small pharmacy - the guy is friendly but beware if you are a tourist. Blister plasters €8+ and a simple textile plaster that would cost €1.50 or less he tried to sell at €5+. We found a small supermarket that sold the same  for €2. you expect some extra cost but not extortion.,,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",5.0,6 years ago,,Paolo Ragazzi,Actually the magic was a (not authenticated yet) Banksy piece appeared the night before last Friday. Enjoy,,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",4.0,10 years ago,,Ashley Jefferson,Wonderful market in the mornings,,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",5.0,2 years ago,,Gonzalo,Good service.,,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",5.0,2 years ago,,Simone Vianello,"Ottima farmacia, sempre fornitissima 💖
Personale qualificato e titolare assolutamente competente","['https://lh3.googleusercontent.com/geougc-cs/AMBA38vGS6Vr8BHZIJ4_pkMLmqN8W717MGPDl-gwT55SKG8e1znjiqJCnWV0e9K3QECy-5DJ5167-uZwv3emHFAhsWUplRdgHbScUNHixeHJDwj87YYQJsz_Zg8y65Mhw_IAYWDGMY-WmA', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tp160hSnBx3QQZrlBI2Z-CrZAZ7Arnsqxl7OFZClm_pppDBA16EHTW4gkmXhL7cSJDCm6i1WhE38fOV2GjNQCgj1SQgV5Wi5W7S125Xu3FuU0uW6m8AJU1-DfXE_f4ueOysXAB', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38tBaKWvVEUotJ49O6EXLkyHyIhDjVK5rZJpj2bIfFFIboNuPdlWZ3sTqyFMLZsQIaORI7oRejPAH4ZO0ej_-_TrR9ARmmAM761pQK1AxAgaEFa_jjpCp7Jy0ZhqxjV4Qplv4nLs1Q', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38sBCQlBDCD5ti3ITPoT3p_FtgM9lHOTCsV7us9JwEHgISHaTtADKAvGs8K94JdNmioB-YcSVS9V6qqnYne_5KYRAeWcbiE1gNMp1quF-s-uBsH74X0IIYjstXa2V7XNozVbE_2g', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38v1IgSW3_DeSc07_CP5jAIIHAnpaQA3-3_6qtHmdrflAgz4qaqA4UTw_qwYTiGZd0wSt-CQudXWlUPKEJTzZh5LW9RF3NA6Bed8wfwwlTe2SfWCqPUZpdqBQ6s8UobOEee199l-8w']",,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",5.0,a year ago,,Natalia Fracchiolla,"Siamo un gruppo di 4 ragazze e siamo entrate in farmacia cercando una soluzione per delle ustioni solari verso le 13:40 del 30 luglio. Siamo state accolte in maniera competente e professionale. La farmacista che ci ha servito si è subito preoccupata e dopo averci fatto una diagnosi attenta e precisa ci ha consigliato una crema che ci ha procurato immediato sollievo e ha reso il nostro soggiorno a Venezia meraviglioso. Signorina farmacista sei stata gentilissima, tvb <3",,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",5.0,a year ago,,Ottavia,"Siamo andati per fare i fori ai lobi e ci hanno subito fatto accomodare, la Dottoressa è davvero gentilissima e bravissima!",,,True
ChIJqcBttcixfkcRMqjJRFKA_Qc,Farmacia Santa Margherita,"{'latitude': 45.435292399999994, 'longitude': 12.324207099999999}",5.0,a year ago,,Филипп Розуменко,"Біля аптеки є термінал з продажу презервативів який працює 24/7.
Рекомендую власникам якусь відмітку з приводу цього зробити у Гугл картах😏😏😏",,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",5.0,a year ago,,South Florida Living Vera Team,Great place if you need a pharmacy for any reasons. Went there at 1:30-2am because my husband had a fever. Ring the bell and the person spoke in the intercom. Then he opens a mini passage to ask what was needed and gave us medicine and charged us no more than $5.00. Highly recommend.,"['https://lh3.googleusercontent.com/geougc-cs/AMBA38sPxO-1e1__Ksx_MoMrovPOh1hPQtp5vSScQ5lWeM93P8_ECbS8jC_1T037tW2Tn4TQoPfIYDJYPIbyfKrFCbLxKmIckKJWGeVxym6bdwEKT5sYlfhJyn_N_GPMZYq4QCQiSsnI', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38sdhLzGxYDpYYnkdzr64oIjxjgW1uVLGnBNGr1EQQa5I7mMEhHmusDdvLHPN7oDncg3rovR-cm4mH1mCx5G7Vne408dKU6z7Ba3XgCvAXA1bARIRIZHg4GRfOjt1cSznU2DKtLI', 'https://lh3.googleusercontent.com/geougc-cs/AMBA38toHTWupUWUJ5lkkf7nVTbfrrWET_uZfCv1shQb2WxdoxIlUrkRD48jvTlm5ctyl8xTR5l5ePUeH9F_o_lIWllp8kRerLN-Lu2ARqaWFiZXv5es7GeKBO5lyroTOmen7_iayBtV']",,
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",5.0,a year ago,,Edwin Liem,"Need to buy emergency medicine during odd hours in Venezia, this is the Pharmacy to go. Just ring the bell on the left hand side of the door. The attendant will open a small window and ask what medication you need. He speaks good English.",,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",1.0,a year ago,,Kanaga Kumanan,"We waited politely ( from U.K ) for about 5 mins to be served while the previous customer on the counter was chatting to the server, both customer & the serving person knew we were  politically waiting ( only customers waiting)… still they carried on without any courtesy, may be because we were  Asians ?
Or is  it the local culture… felt mis treated",,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",4.0,2 months ago,,Ian Johnstone,"Got the lot, very helpful",,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",5.0,a year ago,,Jessica Miller Sellers,Very kind and helpful -- also very patient as I tried to explain what I needed when I only knew the US brand name.,,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",5.0,3 years ago,,Christopher Shepherd,"An amazing Farmacia. My wife and I needed to get Covid tested to return to the U.S. and they had plenty of availability for us, the test was quick, and we got the results back in minutes. The best $22 per test covid test experience we've ever had.",,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",5.0,3 years ago,,Joel Byman,Wonderful service. Spoke english. Helped us get our covid-19 tests for travel for much cheaper than alternatives.,,,True
ChIJY5CizsCxfkcR06JgpP95TpY,Pharmacy Saint Lucia,"{'latitude': 45.4417577, 'longitude': 12.322971899999999}",5.0,3 years ago,,Victor Li,"Hi, we are from Canada. We need to get a covid antigen test done in September for boarding a cruise . Can we just walk in and get tested or do we need to make an appointment before we drop by?",,,True
ChIJO-dN1E-xfkcRpzM8AoWzj3A,PARA-FARMACIA FRARI 3030,"{'latitude': 45.4364249, 'longitude': 12.3263156}",2.0,Edited 4 months ago,,Alan Salisbury,"Exorbitant 😃 don’t buy anything from here that you can get from a supermarket deodorant, toothpaste, face wipes, etc.  UPDATE: we found the exact same products we bought here for a quarter of the price in a nearby supermarket.  We tried to ask the lady working whether this would be possible and she said no :)",,,True
