owner,total_photos,city_photos,city_ratio,day_span,classification
128539572@N06,3,3,1.0,0,TOURIST
12867133@N06,13,13,1.0,1,TOURIST
129231073@N06,13,13,1.0,0,TOURIST
129237435@N03,2,2,1.0,0,TOURIST
129454994@N06,3,3,1.0,0,TOURIST
129479602@N06,4,4,1.0,1,TOURIST
129545700@N02,3,3,1.0,0,TOURIST
129631597@N06,1,1,1.0,0,TOURIST
12971692@N07,11,11,1.0,0,TOURIST
129805014@N02,2,2,1.0,0,TOURIST
129843488@N07,1,1,1.0,0,TOURIST
130031272@N07,2,2,1.0,0,TOURIST
130128142@N04,1,1,1.0,0,TOURIST
130274232@N02,1,1,1.0,0,TOURIST
130299430@N03,1,1,1.0,0,TOURIST
130640248@N02,2,2,1.0,0,TOURIST
131412938@N03,1,1,1.0,0,TOURIST
131431296@N04,2,2,1.0,0,TOURIST
13148989@N03,2,2,1.0,0,TOURIST
131563592@N05,1,1,1.0,0,TOURIST
131823707@N06,1,1,1.0,0,TOURIST
13194817@N00,2,2,1.0,0,TOURIST
132414194@N03,2,2,1.0,0,TOURIST
132571827@N06,2,2,1.0,0,TOURIST
13257277@N00,210,210,1.0,3,TOURIST
132626623@N06,2,2,1.0,0,TOURIST
133190422@N03,6,6,1.0,0,TOURIST
133317146@N05,2,2,1.0,0,TOURIST
13338563@N00,2,2,1.0,0,TOURIST
133876835@N08,76,76,1.0,2,TOURIST
134039647@N02,3,3,1.0,0,TOURIST
13426843@N08,3,3,1.0,0,TOURIST
134378250@N05,1,1,1.0,0,TOURIST
13498452@N00,3,3,1.0,1,TOURIST
135420200@N02,3,3,1.0,0,TOURIST
135440617@N03,1,1,1.0,0,TOURIST
13549634@N06,2,2,1.0,0,TOURIST
13556828@N03,4,4,1.0,0,TOURIST
135625678@N06,3,3,1.0,0,TOURIST
135638490@N03,2,2,1.0,0,TOURIST
135671694@N03,1,1,1.0,0,TOURIST
135706304@N02,15,15,1.0,628,RESIDENT
135758003@N03,5,5,1.0,68,TOURIST
135866982@N05,4,4,1.0,0,TOURIST
135895861@N02,1,1,1.0,0,TOURIST
136240655@N04,2,2,1.0,0,TOURIST
136325095@N07,1,1,1.0,0,TOURIST
136373368@N02,4,4,1.0,0,TOURIST
13639872@N07,1,1,1.0,0,TOURIST
136415739@N04,1,1,1.0,0,TOURIST
136511885@N04,5,5,1.0,147,RESIDENT
13674038@N02,2,2,1.0,0,TOURIST
137023967@N04,2,2,1.0,0,TOURIST
137129299@N07,24,24,1.0,1076,RESIDENT
137245032@N04,1,1,1.0,0,TOURIST
137347074@N07,2,2,1.0,0,TOURIST
137392692@N02,5,5,1.0,2,TOURIST
137712307@N03,2,2,1.0,0,TOURIST
137918669@N08,244,244,1.0,2840,RESIDENT
138108269@N05,3,3,1.0,0,TOURIST
138752302@N05,4,4,1.0,0,TOURIST
13879794@N04,17,17,1.0,1,TOURIST
13885025@N05,4,4,1.0,0,TOURIST
138883094@N04,2,2,1.0,0,TOURIST
13893079@N06,2,2,1.0,0,TOURIST
139003966@N05,2,2,1.0,3562,RESIDENT
139150318@N05,1,1,1.0,0,TOURIST
13945854@N00,4,4,1.0,0,TOURIST
13950736@N03,11,11,1.0,2,TOURIST
139681288@N03,1,1,1.0,0,TOURIST
14093527@N03,20,20,1.0,6592,RESIDENT
141255856@N03,2,2,1.0,0,TOURIST
14139399@N00,3,3,1.0,3,TOURIST
141595328@N02,10,10,1.0,2,TOURIST
142083289@N03,4,4,1.0,1987,RESIDENT
14209672@N08,2,2,1.0,0,TOURIST
142316486@N05,3,3,1.0,0,TOURIST
14242265@N00,14,14,1.0,0,TOURIST
142603036@N07,1,1,1.0,0,TOURIST
14273810@N08,1,1,1.0,0,TOURIST
14277620@N00,14,14,1.0,57,TOURIST
14278819@N08,22,22,1.0,60,TOURIST
142995416@N07,13,13,1.0,5,TOURIST
143146286@N02,1,1,1.0,0,TOURIST
143330933@N08,2,2,1.0,0,TOURIST
14336132@N00,18,18,1.0,0,TOURIST
14344846@N08,8,8,1.0,0,TOURIST
143593890@N07,6,6,1.0,0,TOURIST
14426473@N04,5,5,1.0,0,TOURIST
144351962@N03,2,2,1.0,0,TOURIST
14437770@N08,1,1,1.0,0,TOURIST
144405414@N03,4,4,1.0,20,TOURIST
14441244@N08,2,2,1.0,0,TOURIST
14455092@N00,1,1,1.0,0,TOURIST
145003604@N02,2,2,1.0,2,TOURIST
145104728@N02,2,2,1.0,0,TOURIST
145361631@N02,2,2,1.0,0,TOURIST
145472109@N04,1,1,1.0,0,TOURIST
145683341@N07,1,1,1.0,0,TOURIST
145802237@N03,3,3,1.0,0,TOURIST
145868809@N06,1,1,1.0,0,TOURIST
146077050@N07,1,1,1.0,0,TOURIST
146150720@N06,7,7,1.0,2323,RESIDENT
146214487@N06,4,4,1.0,0,TOURIST
146438080@N07,6,6,1.0,0,TOURIST
146725631@N05,8,8,1.0,2,TOURIST
146838317@N05,9,9,1.0,508,RESIDENT
14686451@N02,2,2,1.0,0,TOURIST
14702267@N08,3,3,1.0,307,RESIDENT
147123366@N06,10,10,1.0,1994,RESIDENT
147153897@N06,2,2,1.0,0,TOURIST
147396021@N07,3,3,1.0,0,TOURIST
147434472@N05,2,2,1.0,0,TOURIST
14779042@N05,1,1,1.0,0,TOURIST
148027615@N03,2,2,1.0,0,TOURIST
14838182@N00,31,31,1.0,2,TOURIST
148512486@N05,3,3,1.0,10,TOURIST
14867442@N07,8,8,1.0,0,TOURIST
14886718@N05,1,1,1.0,0,TOURIST
149097407@N08,4,4,1.0,0,TOURIST
14950389@N05,1,1,1.0,0,TOURIST
14950906@N07,2,2,1.0,0,TOURIST
149636818@N06,80,80,1.0,4,TOURIST
14988570@N08,4,4,1.0,3,TOURIST
149915878@N06,5,5,1.0,1326,RESIDENT
149981562@N07,1,1,1.0,0,TOURIST
150006850@N07,2,2,1.0,0,TOURIST
15005196@N07,20,20,1.0,1,TOURIST
15031294@N04,51,51,1.0,0,TOURIST
15087210@N00,1,1,1.0,0,TOURIST
15105372@N03,1,1,1.0,0,TOURIST
151092480@N04,1,1,1.0,0,TOURIST
151440412@N02,2,2,1.0,0,TOURIST
151770565@N05,35,35,1.0,963,RESIDENT
15218401@N04,2,2,1.0,1,TOURIST
15256764@N06,9,9,1.0,2,TOURIST
15257460@N00,47,47,1.0,1054,RESIDENT
152673335@N06,2,2,1.0,0,TOURIST
152808095@N03,1,1,1.0,0,TOURIST
152902656@N06,2,2,1.0,0,TOURIST
152939044@N05,6,6,1.0,0,TOURIST
153031613@N06,2,2,1.0,1,TOURIST
15309075@N07,17,17,1.0,0,TOURIST
153320789@N03,2,2,1.0,4779,RESIDENT
154010318@N06,1,1,1.0,0,TOURIST
154025422@N05,2,2,1.0,0,TOURIST
154575130@N07,2,2,1.0,0,TOURIST
154650255@N03,1,1,1.0,0,TOURIST
15476629@N00,1,1,1.0,0,TOURIST
15493111@N07,1,1,1.0,0,TOURIST
155454670@N03,1,1,1.0,0,TOURIST
155464584@N04,1,1,1.0,0,TOURIST
15571118@N00,33,33,1.0,1088,RESIDENT
15588608@N00,6,6,1.0,0,TOURIST
156107086@N08,1,1,1.0,0,TOURIST
15614926@N04,6,6,1.0,0,TOURIST
15696015@N05,2,2,1.0,1422,RESIDENT
15700107@N02,3,3,1.0,0,TOURIST
15706818@N00,2,2,1.0,2,TOURIST
15865461@N00,1,1,1.0,0,TOURIST
15917364@N02,2,2,1.0,1,TOURIST
159186336@N03,2,2,1.0,0,TOURIST
159206940@N03,6,6,1.0,284,RESIDENT
159865077@N06,1,1,1.0,0,TOURIST
159971436@N03,3,3,1.0,0,TOURIST
160486813@N06,1,1,1.0,0,TOURIST
16128441@N00,4,4,1.0,0,TOURIST
16151021@N00,86,86,1.0,4,TOURIST
16188495@N00,3,3,1.0,0,TOURIST
16210667@N02,5,5,1.0,0,TOURIST
162118024@N05,1,1,1.0,0,TOURIST
16253319@N00,14,14,1.0,1,TOURIST
162684392@N05,1,1,1.0,0,TOURIST
162851011@N04,1,1,1.0,0,TOURIST
162979504@N04,2,2,1.0,0,TOURIST
163066456@N03,4,4,1.0,0,TOURIST
163158844@N05,1,1,1.0,0,TOURIST
16340560@N04,10,10,1.0,0,TOURIST
163869282@N05,95,95,1.0,565,RESIDENT
16412430@N00,1,1,1.0,0,TOURIST
16569662@N00,1,1,1.0,0,TOURIST
165888515@N03,9,9,1.0,0,TOURIST
165931304@N08,4,4,1.0,0,TOURIST
16658021@N07,1,1,1.0,0,TOURIST
16683908@N00,14,14,1.0,0,TOURIST
16815826@N00,2,2,1.0,0,TOURIST
16918945@N06,9,9,1.0,2841,RESIDENT
16973036@N04,1,1,1.0,0,TOURIST
16978339@N03,2,2,1.0,0,TOURIST
16996959@N04,2,2,1.0,0,TOURIST
17061054@N00,1,1,1.0,0,TOURIST
17266801@N00,2,2,1.0,0,TOURIST
17372221@N00,4,4,1.0,0,TOURIST
17454739@N00,1,1,1.0,0,TOURIST
17675540@N00,3,3,1.0,0,TOURIST
17743287@N00,2,2,1.0,0,TOURIST
17800147@N06,3,3,1.0,3,TOURIST
17901183@N00,30,30,1.0,1058,RESIDENT
18023272@N00,1,1,1.0,0,TOURIST
18090511@N03,5,5,1.0,0,TOURIST
18205690@N02,4,4,1.0,0,TOURIST
182363664@N08,2,2,1.0,0,TOURIST
182917640@N02,3,3,1.0,0,TOURIST
183014250@N08,1,1,1.0,0,TOURIST
183371512@N07,4,4,1.0,0,TOURIST
183838653@N06,1,1,1.0,0,TOURIST
184501773@N05,2,2,1.0,0,TOURIST
185035056@N05,1,1,1.0,0,TOURIST
18525773@N00,9,9,1.0,7,TOURIST
185639440@N02,2,2,1.0,0,TOURIST
186145661@N05,1,1,1.0,0,TOURIST
186342141@N05,12,12,1.0,22,TOURIST
187369351@N07,1,1,1.0,0,TOURIST
188717768@N07,1,1,1.0,0,TOURIST
189018942@N07,9,9,1.0,0,TOURIST
190173716@N05,2,2,1.0,1,TOURIST
190199605@N08,6,6,1.0,2939,RESIDENT
190829865@N08,1,1,1.0,0,TOURIST
19114667@N00,5,5,1.0,21,TOURIST
19142852@N06,1,1,1.0,0,TOURIST
191874585@N08,1,1,1.0,0,TOURIST
192137726@N07,33,33,1.0,469,RESIDENT
192382293@N05,43,43,1.0,1365,RESIDENT
192668333@N07,4,4,1.0,0,TOURIST
192732237@N03,10,10,1.0,1,TOURIST
193019155@N02,17,17,1.0,759,RESIDENT
193661854@N07,1,1,1.0,0,TOURIST
193778316@N03,1,1,1.0,0,TOURIST
194295799@N02,9,9,1.0,1,TOURIST
194409521@N04,1,1,1.0,0,TOURIST
194491293@N03,2,2,1.0,0,TOURIST
19453790@N00,2,2,1.0,0,TOURIST
194539507@N08,1,1,1.0,0,TOURIST
194754611@N03,1,1,1.0,0,TOURIST
194968983@N04,3,3,1.0,0,TOURIST
195160676@N03,4,4,1.0,0,TOURIST
195211827@N06,1,1,1.0,0,TOURIST
195275702@N03,2,2,1.0,0,TOURIST
19527814@N06,2,2,1.0,0,TOURIST
195326225@N08,3,3,1.0,0,TOURIST
196020016@N08,1,1,1.0,0,TOURIST
197185894@N05,3,3,1.0,0,TOURIST
197243656@N08,164,164,1.0,0,TOURIST
197246199@N05,2,2,1.0,0,TOURIST
198311535@N06,35,35,1.0,6,TOURIST
198578424@N06,2,2,1.0,0,TOURIST
198697200@N06,13,13,1.0,14,TOURIST
199311475@N07,4,4,1.0,0,TOURIST
199406402@N05,5,5,1.0,0,TOURIST
199599572@N06,2,2,1.0,4966,RESIDENT
199712577@N03,9,9,1.0,1,TOURIST
19994691@N00,1,1,1.0,0,TOURIST
200347583@N04,3,3,1.0,0,TOURIST
200541138@N02,3,3,1.0,52,TOURIST
20127130@N02,1,1,1.0,0,TOURIST
201303473@N03,1,1,1.0,0,TOURIST
201367409@N07,1,1,1.0,0,TOURIST
201795728@N06,1,1,1.0,0,TOURIST
20199837@N00,1,1,1.0,0,TOURIST
202560027@N04,1,1,1.0,0,TOURIST
202615349@N04,1,1,1.0,0,TOURIST
202735273@N07,2,2,1.0,0,TOURIST
202988504@N03,2,2,1.0,0,TOURIST
203252706@N05,1,1,1.0,0,TOURIST
203351417@N03,6,6,1.0,0,TOURIST
20423934@N08,1,1,1.0,0,TOURIST
20564446@N00,11,11,1.0,1087,RESIDENT
20596166@N00,23,23,1.0,3,TOURIST
20821468@N00,2,2,1.0,0,TOURIST
20958381@N08,1,1,1.0,0,TOURIST
20962557@N07,6,6,1.0,0,TOURIST
20990567@N06,4,4,1.0,0,TOURIST
21013862@N08,4,4,1.0,0,TOURIST
21044097@N00,16,16,1.0,1,TOURIST
21139028@N07,2,2,1.0,0,TOURIST
21228841@N02,1,1,1.0,0,TOURIST
21249084@N04,1,1,1.0,0,TOURIST
21373331@N00,1,1,1.0,0,TOURIST
21438312@N06,4,4,1.0,0,TOURIST
21452646@N07,1,1,1.0,0,TOURIST
21637807@N07,5,5,1.0,0,TOURIST
21642198@N06,3,3,1.0,0,TOURIST
21655897@N07,5,5,1.0,0,TOURIST
21684501@N00,5,5,1.0,0,TOURIST
21707754@N02,3,3,1.0,93,RESIDENT
21769883@N05,26,26,1.0,575,RESIDENT
21789669@N00,1,1,1.0,0,TOURIST
21801897@N04,1,1,1.0,0,TOURIST
21817927@N02,1,1,1.0,0,TOURIST
21959875@N06,3,3,1.0,0,TOURIST
22017189@N00,1,1,1.0,0,TOURIST
22036597@N03,2,2,1.0,0,TOURIST
22152932@N08,1,1,1.0,0,TOURIST
22279078@N02,1,1,1.0,0,TOURIST
22314539@N05,3,3,1.0,0,TOURIST
22396490@N08,3,3,1.0,0,TOURIST
22446827@N02,7,7,1.0,1,TOURIST
22465386@N05,61,61,1.0,0,TOURIST
22467415@N00,19,19,1.0,1,TOURIST
22496932@N07,1,1,1.0,0,TOURIST
22563396@N03,13,13,1.0,0,TOURIST
22572253@N08,1,1,1.0,0,TOURIST
22576765@N02,3,3,1.0,0,TOURIST
22585156@N00,3,3,1.0,0,TOURIST
22626071@N03,1,1,1.0,0,TOURIST
22638088@N04,9,9,1.0,1316,RESIDENT
22662305@N04,83,83,1.0,2,TOURIST
22666220@N00,3,3,1.0,0,TOURIST
22829128@N08,12,12,1.0,7,TOURIST
22837072@N00,1,1,1.0,0,TOURIST
22841923@N02,6,6,1.0,118,RESIDENT
22878861@N06,25,25,1.0,356,RESIDENT
22942399@N06,2,2,1.0,0,TOURIST
22983507@N07,18,18,1.0,0,TOURIST
23097900@N02,51,51,1.0,0,TOURIST
23136508@N00,2,2,1.0,0,TOURIST
23175156@N00,2,2,1.0,0,TOURIST
23236447@N05,5,5,1.0,1,TOURIST
23237158@N05,8,8,1.0,0,TOURIST
23355426@N00,31,31,1.0,0,TOURIST
23394424@N03,3,3,1.0,0,TOURIST
23401669@N00,1,1,1.0,0,TOURIST
23471159@N06,11,11,1.0,67,TOURIST
23478935@N02,1,1,1.0,0,TOURIST
23555498@N00,7,7,1.0,1,TOURIST
23574881@N06,2,2,1.0,0,TOURIST
23577146@N03,1,1,1.0,0,TOURIST
23586209@N03,26,26,1.0,1887,RESIDENT
23607545@N00,1,1,1.0,0,TOURIST
23748404@N00,80,80,1.0,9,TOURIST
23804856@N04,1,1,1.0,0,TOURIST
23804952@N00,3,3,1.0,0,TOURIST
23808252@N00,37,37,1.0,362,RESIDENT
23893268@N00,1,1,1.0,0,TOURIST
23911045@N08,1,1,1.0,0,TOURIST
23954783@N00,1,1,1.0,0,TOURIST
24076444@N03,1,1,1.0,0,TOURIST
24077877@N04,2,2,1.0,0,TOURIST
24124650@N03,17,17,1.0,0,TOURIST
24152346@N00,3,3,1.0,1,TOURIST
24167872@N06,3,3,1.0,0,TOURIST
24196199@N00,8,8,1.0,1538,RESIDENT
24347639@N03,12,12,1.0,1,TOURIST
24380554@N05,66,66,1.0,0,TOURIST
24419989@N07,1,1,1.0,0,TOURIST
24458823@N02,3,3,1.0,0,TOURIST
24494149@N02,1,1,1.0,0,TOURIST
24549706@N05,2,2,1.0,0,TOURIST
24554942@N04,1,1,1.0,0,TOURIST
24562818@N02,1,1,1.0,0,TOURIST
24681010@N02,14,14,1.0,3204,RESIDENT
24685174@N07,1,1,1.0,0,TOURIST
24753640@N08,1,1,1.0,0,TOURIST
24827927@N03,3,3,1.0,0,TOURIST
24833875@N03,2,2,1.0,0,TOURIST
24896923@N07,1,1,1.0,0,TOURIST
24910458@N07,3,3,1.0,117,RESIDENT
24993251@N08,17,17,1.0,2,TOURIST
25003211@N06,9,9,1.0,0,TOURIST
25003831@N03,1,1,1.0,0,TOURIST
25047210@N00,1,1,1.0,0,TOURIST
25113025@N08,3,3,1.0,0,TOURIST
25149771@N08,2,2,1.0,0,TOURIST
25191470@N03,3,3,1.0,0,TOURIST
25228835@N02,2,2,1.0,0,TOURIST
25267104@N00,1,1,1.0,0,TOURIST
25335282@N04,5,5,1.0,105,RESIDENT
25402851@N04,1,1,1.0,0,TOURIST
25473946@N08,2,2,1.0,0,TOURIST
25507134@N00,1,1,1.0,0,TOURIST
25509772@N00,2,2,1.0,1,TOURIST
25538034@N04,2,2,1.0,1,TOURIST
25578207@N03,3,3,1.0,0,TOURIST
25593701@N00,1,1,1.0,0,TOURIST
25739991@N00,10,10,1.0,0,TOURIST
25767209@N02,17,17,1.0,3549,RESIDENT
25792423@N00,10,10,1.0,0,TOURIST
25802474@N04,1,1,1.0,0,TOURIST
25819827@N04,1,1,1.0,0,TOURIST
25837947@N05,1,1,1.0,0,TOURIST
25851571@N02,1,1,1.0,0,TOURIST
25856401@N00,53,53,1.0,5,TOURIST
25906053@N02,3,3,1.0,0,TOURIST
25937668@N08,16,16,1.0,3849,RESIDENT
25994583@N06,4,4,1.0,2878,RESIDENT
26015164@N02,1,1,1.0,0,TOURIST
26057347@N04,14,14,1.0,0,TOURIST
26099052@N03,6,6,1.0,2,TOURIST
26100910@N02,2,2,1.0,0,TOURIST
26141927@N08,1,1,1.0,0,TOURIST
26213532@N05,5,5,1.0,0,TOURIST
26301977@N02,2,2,1.0,0,TOURIST
26331129@N06,2,2,1.0,0,TOURIST
26363812@N04,2,2,1.0,0,TOURIST
26457661@N00,2,2,1.0,0,TOURIST
26460822@N03,1,1,1.0,0,TOURIST
26532540@N00,1,1,1.0,0,TOURIST
26653963@N00,1,1,1.0,0,TOURIST
26656586@N05,1,1,1.0,0,TOURIST
26782864@N00,2,2,1.0,1,TOURIST
26792430@N00,28,28,1.0,2049,RESIDENT
26796301@N05,5,5,1.0,0,TOURIST
26829402@N03,2,2,1.0,0,TOURIST
26905080@N06,1,1,1.0,0,TOURIST
26929491@N05,1,1,1.0,0,TOURIST
27032221@N00,3,3,1.0,0,TOURIST
27116010@N00,1,1,1.0,0,TOURIST
27165979@N00,1,1,1.0,0,TOURIST
27174440@N05,1,1,1.0,0,TOURIST
27260919@N07,1,1,1.0,0,TOURIST
27280854@N03,4,4,1.0,0,TOURIST
27283274@N00,1,1,1.0,0,TOURIST
27302727@N03,1,1,1.0,0,TOURIST
27315150@N08,10,10,1.0,0,TOURIST
27342758@N06,7,7,1.0,23,TOURIST
27351650@N05,1,1,1.0,0,TOURIST
27365671@N00,3,3,1.0,0,TOURIST
27396057@N03,3,3,1.0,0,TOURIST
27429715@N00,1,1,1.0,0,TOURIST
27482980@N02,45,45,1.0,1,TOURIST
27621018@N08,2,2,1.0,2,TOURIST
27728955@N04,5,5,1.0,193,RESIDENT
27810107@N08,1,1,1.0,0,TOURIST
27814657@N06,2,2,1.0,0,TOURIST
27859792@N07,1,1,1.0,0,TOURIST
27964309@N06,8,8,1.0,3288,RESIDENT
28116451@N00,3,3,1.0,0,TOURIST
28126230@N00,2,2,1.0,0,TOURIST
28130097@N04,5,5,1.0,0,TOURIST
28161142@N06,1,1,1.0,0,TOURIST
28248068@N03,7,7,1.0,0,TOURIST
28286582@N03,1,1,1.0,0,TOURIST
28356709@N03,9,9,1.0,6,TOURIST
28369035@N05,1,1,1.0,0,TOURIST
28371289@N00,4,4,1.0,0,TOURIST
28402310@N06,22,22,1.0,1,TOURIST
28445605@N05,2,2,1.0,0,TOURIST
28473695@N00,1,1,1.0,0,TOURIST
28529833@N05,1,1,1.0,0,TOURIST
28536568@N00,1,1,1.0,0,TOURIST
28620733@N02,3,3,1.0,0,TOURIST
28632550@N05,1,1,1.0,0,TOURIST
28683534@N00,1,1,1.0,0,TOURIST
28689840@N02,4,4,1.0,0,TOURIST
28704898@N00,1,1,1.0,0,TOURIST
28747483@N02,4,4,1.0,0,TOURIST
28752247@N00,2,2,1.0,0,TOURIST
28754568@N02,46,46,1.0,1,TOURIST
28771961@N06,7,7,1.0,1402,RESIDENT
28791544@N04,1,1,1.0,0,TOURIST
28792233@N04,6,6,1.0,1,TOURIST
28828272@N06,4,4,1.0,1,TOURIST
28992076@N08,1,1,1.0,0,TOURIST
29007159@N02,8,8,1.0,755,RESIDENT
29018404@N07,2,2,1.0,0,TOURIST
29025657@N07,3,3,1.0,1000,RESIDENT
29099219@N08,2,2,1.0,0,TOURIST
29150263@N07,1,1,1.0,0,TOURIST
29172291@N00,1,1,1.0,0,TOURIST
29235510@N03,2,2,1.0,1,TOURIST
29259083@N05,8,8,1.0,1,TOURIST
29315557@N07,1,1,1.0,0,TOURIST
29370225@N03,33,33,1.0,4382,RESIDENT
29417264@N00,2,2,1.0,0,TOURIST
29448872@N00,3,3,1.0,15,TOURIST
